29.12773,31.28403,296.51,0.48,0.48,2025-01-12,5,N20,VIIRS,n,2.0NRT,282.4,1.04,N
29.52777,28.43838,295.56,0.5,0.41,2025-01-12,5,N20,VIIRS,n,2.0NRT,279.12,0.72,N
29.69074,32.31993,326.01,0.54,0.51,2025-01-12,5,N20,VIIRS,n,2.0NRT,284.79,4.23,N
29.80335,32.09073,306.42,0.52,0.5,2025-01-12,5,N20,VIIRS,n,2.0NRT,283.06,1.61,N
29.80426,32.09218,297.12,0.52,0.5,2025-01-12,5,N20,VIIRS,n,2.0NRT,284,1.8,N
29.80449,32.08545,301.03,0.52,0.5,2025-01-12,5,N20,VIIRS,n,2.0NRT,283.16,1.34,N
29.80544,32.0869,310.55,0.52,0.5,2025-01-12,5,N20,VIIRS,n,2.0NRT,284.09,1.8,N
29.82468,31.30733,310.41,0.47,0.47,2025-01-12,5,N20,VIIRS,n,2.0NRT,285.49,1.18,N
29.84758,27.68412,295.21,0.46,0.39,2025-01-12,5,N20,VIIRS,n,2.0NRT,281.95,0.54,N
29.92708,32.46666,304.93,0.54,0.51,2025-01-12,5,N20,VIIRS,n,2.0NRT,284.22,1.95,N
29.97889,27.78697,310.02,0.46,0.39,2025-01-12,5,N20,VIIRS,n,2.0NRT,282.5,0.77,N
30.00695,27.88541,299.65,0.47,0.39,2025-01-12,5,N20,VIIRS,n,2.0NRT,281.69,0.56,N
30.0087,27.88814,299.98,0.47,0.39,2025-01-12,5,N20,VIIRS,n,2.0NRT,281.96,0.55,N
30.38248,30.56397,310.88,0.41,0.45,2025-01-12,5,N20,VIIRS,n,2.0NRT,285.58,1.44,N
30.40411,19.61267,308.47,0.52,0.41,2025-01-12,5,N20,VIIRS,n,2.0NRT,283.03,0.73,N
30.40496,19.6109,300.7,0.52,0.41,2025-01-12,5,N20,VIIRS,n,2.0NRT,283.12,0.67,N
30.40696,19.59472,295.44,0.52,0.41,2025-01-12,5,N20,VIIRS,n,2.0NRT,283.12,0.81,N
30.40981,19.59706,298.39,0.52,0.41,2025-01-12,5,N20,VIIRS,n,2.0NRT,283.98,0.77,N
30.41172,19.58087,300.62,0.52,0.41,2025-01-12,5,N20,VIIRS,n,2.0NRT,283.84,0.57,N
30.41276,19.57916,296.64,0.52,0.41,2025-01-12,5,N20,VIIRS,n,2.0NRT,283.89,0.67,N
30.50789,25.91831,296.08,0.4,0.37,2025-01-12,5,N20,VIIRS,n,2.0NRT,280.5,0.47,N
30.5321,26.08214,297.62,0.4,0.37,2025-01-12,5,N20,VIIRS,n,2.0NRT,279.36,0.52,N
30.53403,26.09118,307.97,0.4,0.37,2025-01-12,5,N20,VIIRS,n,2.0NRT,280.41,0.76,N
30.53544,26.0829,322.91,0.4,0.37,2025-01-12,5,N20,VIIRS,n,2.0NRT,285.28,4.41,N
30.53614,26.07876,303,0.4,0.37,2025-01-12,5,N20,VIIRS,n,2.0NRT,279.65,2.52,N
30.53876,28.49537,301.65,0.49,0.4,2025-01-12,5,N20,VIIRS,n,2.0NRT,281.28,1.03,N
30.67061,26.3668,323.43,0.41,0.37,2025-01-12,5,N20,VIIRS,n,2.0NRT,280.18,2.07,N
30.70253,33.84835,319.64,0.63,0.54,2025-01-12,5,N20,VIIRS,n,2.0NRT,284.3,5.68,N
30.70519,26.97862,297.2,0.42,0.38,2025-01-12,5,N20,VIIRS,n,2.0NRT,280.82,0.46,N
30.72474,33.77496,306.05,0.62,0.54,2025-01-12,5,N20,VIIRS,n,2.0NRT,282.3,1.87,N
30.76026,27.10367,341.26,0.43,0.38,2025-01-12,5,N20,VIIRS,n,2.0NRT,281.33,6.74,N
30.77056,27.10612,327.11,0.43,0.38,2025-01-12,5,N20,VIIRS,n,2.0NRT,282.04,2.82,N
30.8226,26.46916,301.32,0.41,0.37,2025-01-12,5,N20,VIIRS,n,2.0NRT,280.79,0.91,N
30.82597,26.46994,314.03,0.41,0.37,2025-01-12,5,N20,VIIRS,n,2.0NRT,280.97,0.91,N
30.85564,26.62224,303.29,0.41,0.37,2025-01-12,5,N20,VIIRS,n,2.0NRT,280.15,0.44,N
30.8965,27.34459,327.69,0.43,0.38,2025-01-12,5,N20,VIIRS,n,2.0NRT,280.96,3.02,N
30.93439,27.55588,303.48,0.44,0.38,2025-01-12,5,N20,VIIRS,n,2.0NRT,280.99,0.98,N
30.95867,20.11488,305.45,0.5,0.41,2025-01-12,5,N20,VIIRS,n,2.0NRT,285.82,1.29,N
30.99518,29.84359,295.02,0.55,0.43,2025-01-12,5,N20,VIIRS,n,2.0NRT,284.01,0.75,N
31.02972,29.7517,319.36,0.55,0.43,2025-01-12,5,N20,VIIRS,n,2.0NRT,284.66,1.59,N
31.09262,29.86523,305.7,0.55,0.43,2025-01-12,5,N20,VIIRS,n,2.0NRT,283.74,0.55,N
31.11663,29.80606,298.35,0.55,0.43,2025-01-12,5,N20,VIIRS,n,2.0NRT,286.21,0.83,N
31.12318,29.81376,319.67,0.55,0.43,2025-01-12,5,N20,VIIRS,n,2.0NRT,286.29,2.74,N
31.21529,31.87011,307.39,0.47,0.48,2025-01-12,5,N20,VIIRS,n,2.0NRT,281.33,1.16,N
31.24369,11.8109,295.66,0.5,0.66,2025-01-12,5,N20,VIIRS,n,2.0NRT,273.93,0.47,N
31.31753,11.80119,303.62,0.5,0.66,2025-01-12,5,N20,VIIRS,n,2.0NRT,275.39,1.77,N
31.31786,11.79583,300.49,0.5,0.66,2025-01-12,5,N20,VIIRS,n,2.0NRT,274.18,1.71,N
31.31875,11.79828,324.15,0.5,0.66,2025-01-12,5,N20,VIIRS,n,2.0NRT,276.28,2.07,N
31.35225,30.31656,316.76,0.39,0.44,2025-01-12,5,N20,VIIRS,n,2.0NRT,284.35,0.88,N
31.3984,12.14167,327.87,0.48,0.64,2025-01-12,5,N20,VIIRS,n,2.0NRT,276.46,2.31,N
31.40163,12.14104,317.12,0.48,0.64,2025-01-12,5,N20,VIIRS,n,2.0NRT,275.46,2.46,N
31.40269,31.59652,298.69,0.45,0.47,2025-01-12,5,N20,VIIRS,n,2.0NRT,282.17,0.73,N
31.64834,9.16598,301.14,0.72,0.75,2025-01-12,5,N20,VIIRS,n,2.0NRT,277.96,1.41,N
31.95755,11.13956,296.6,0.55,0.68,2025-01-12,5,N20,VIIRS,n,2.0NRT,280.38,0.89,N
32.00712,20.13345,295.52,0.51,0.41,2025-01-12,5,N20,VIIRS,n,2.0NRT,283.57,0.58,N
32.05891,23.98062,306.46,0.39,0.36,2025-01-12,5,N20,VIIRS,n,2.0NRT,284.29,0.88,N
32.19976,20.12997,297.15,0.51,0.41,2025-01-12,5,N20,VIIRS,n,2.0NRT,284.45,0.91,N
